Evidence layer	Dataset	Disease/material	Analytic unit and retained sample	Treatment/endpoint	Manuscript role	Figure(s)	Key boundary
Clinical response	PRINCE (Padrón et al. 2022; SecAct v1.1.0 distribution)	PDAC baseline tumor bulk RNA	38 patients: 18 responders, 20 nonresponders	Two nivolumab-containing arms; best overall response	Primary internal treatment-context association	2, 3, S1, S2	Source distribution: 65 expression samples, 108 clinical patients, 63 overlap, 45 nivolumab-expression records; no non-ICI comparator
Clinical response	GSE179351	PDAC pretreatment tumor RNA	6 patients: 3 responders, 3 nonresponders	Radiotherapy plus dual ICI; response grouping	Directional PDAC sensitivity cohort	3, S2	Same direction as PRINCE, but underpowered and non-significant; not replication
Clinical response	GSE248014	PDAC pretreatment tumor RNA	23 patients: 3 responders, 20 nonresponders	Entinostat lead-in followed by entinostat plus nivolumab; RECIST	PDAC response-association transportability audit	3, S2	Opposite but imprecise point estimate; only three response events; not validation
Cross-cancer boundary	GSE78220	Melanoma baseline tumor RNA	27 patients: 15 responders, 12 nonresponders	Anti-PD-1; response grouping	Cross-cancer boundary only	3, S2	Not PDAC replication
Cross-cancer boundary	GSE91061	Melanoma baseline tumor RNA	49 patients: 10 responders, 39 nonresponders	Anti-PD-1-based; response grouping	Cross-cancer boundary only	3, S2	Not PDAC replication
Single-cell context	GSE154778	PDAC single-cell RNA-seq	14926 cells across 16 samples before singlet selection	No response endpoint used	Inflammatory-myeloid state context	S3, S7, S8, S9	Does not localize complete Mito3 to tumor or myeloid cells
Single-cell context	GSE156405	PDAC single-cell RNA-seq	823 cells before singlet selection	No response endpoint used	SecAct communication context	S3, S8, S9	Sender identities differed between cohorts; no causal communication claim
Paired ROI context	GSE240078	PDAC GeoMx paired tumor/stroma ROI expression	40 patients; 223 ROIs (109 tumor, 114 stroma)	Paired compartment comparison	ROI compartmentalization and cross-compartment association	S4, S9	No ROI coordinates or cell segmentation; incomplete module coverage
Protein coherence	CPTAC-PAAD	Matched PDAC RNA and total protein	140 matched tumors	RNA–protein module correlation	Orthogonal expression-layer context	S5, S10	Total protein is not phosphosite activation or treatment response
Phosphosite context	TCGA-PAAD RPPA	PDAC RPPA plus RNA composition proxies	122 unadjusted; 113 protein/composition-adjusted tumors	RPPA pathway-edge association	Partial downstream phospho-state support	S5, S10	Akt_pS473 is multiplexed AKT1/2/3; cohort lacks ICI treatment
Genetic dependency	DepMap 24Q4	Pancreatic adenocarcinoma cell lines	41 models	Chronos-derived dependency probability	Experimental-test prioritization	S5, S10	Heterogeneous model dependency; not patient response or target engagement
Pharmacology	PRISM repurposing primary screen	PDAC cell-line viability screen	31 models × 4,686 compounds for state-selectivity screen; 37 models for candidate ranking	Median-split Mito-state association and broad inhibition	Null state-selectivity screen and test priority	S6, S10	Figshare primary-screen source version and file hashes are recorded in the verification manifest; no FDR-supported Mito-state-selective compound; not efficacy or ICI synergy
